"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Chanukah: 6 Candles","4/12/2002",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 7 Candles","5/12/2002",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8 Candles","6/12/2002",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Erev Purim","17/3/2003",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","18/3/2003",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","16/4/2003",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","17/4/2003",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","18/4/2003",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","19/4/2003",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","20/4/2003",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","21/4/2003",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","22/4/2003",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","23/4/2003",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","5/6/2003",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","6/6/2003",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","6/8/2003",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av","7/8/2003",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","26/9/2003",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5764","27/9/2003",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","28/9/2003",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","5/10/2003",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","6/10/2003",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","10/10/2003",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","11/10/2003",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II (CH’’M)","12/10/2003",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","13/10/2003",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","14/10/2003",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","15/10/2003",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","16/10/2003",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","17/10/2003",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","18/10/2003",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","19/12/2003",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","20/12/2003",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","21/12/2003",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","22/12/2003",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","23/12/2003",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","24/12/2003",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 7 Candles","25/12/2003",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8 Candles","26/12/2003",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
