"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Pesach VI (CH’’M)","24/4/2011",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","25/4/2011",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","7/6/2011",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","8/6/2011",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","8/8/2011",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av","9/8/2011",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","28/9/2011",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5772","29/9/2011",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","30/9/2011",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","7/10/2011",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","8/10/2011",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","12/10/2011",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","13/10/2011",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II (CH’’M)","14/10/2011",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","15/10/2011",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","16/10/2011",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","17/10/2011",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","18/10/2011",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","19/10/2011",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","20/10/2011",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","20/12/2011",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","21/12/2011",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","22/12/2011",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","23/12/2011",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","24/12/2011",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","25/12/2011",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 7 Candles","26/12/2011",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8 Candles","27/12/2011",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Erev Purim","7/3/2012",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","8/3/2012",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Erev Pesach","6/4/2012",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","7/4/2012",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II (CH’’M)","8/4/2012",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach III (CH’’M)","9/4/2012",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH’’M)","10/4/2012",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","11/4/2012",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","12/4/2012",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","13/4/2012",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Erev Shavuot","26/5/2012",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Shavuot","27/5/2012",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Erev Tish’a B’Av","28/7/2012",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av (observed)","29/7/2012",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Erev Rosh Hashana","16/9/2012",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5773","17/9/2012",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","18/9/2012",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Erev Yom Kippur","25/9/2012",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","26/9/2012",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","30/9/2012",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot I","1/10/2012",,,,"true","Feast of Booths","4","Jewish Holidays"
"Sukkot II (CH’’M)","2/10/2012",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","3/10/2012",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","4/10/2012",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","5/10/2012",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","6/10/2012",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","7/10/2012",,,,"true","Feast of Booths","3","Jewish Holidays"
"Shmini Atzeret","8/10/2012",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Chanukah: 1 Candle","8/12/2012",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 2 Candles","9/12/2012",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 3 Candles","10/12/2012",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 4 Candles","11/12/2012",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 5 Candles","12/12/2012",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 6 Candles","13/12/2012",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 7 Candles","14/12/2012",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Chanukah: 8 Candles","15/12/2012",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
